Building No,Floor,Unit No,Bedrooms No,Listed Price,Actual Rent,Year,Month,Day,Rented(Y or N)
1,1,101,1,2570,2510,2024,01,01,Y
1,1,101,1,2710,2560,2024,02,01,Y
1,1,101,1,2670,2580,2024,03,01,Y
1,1,101,1,2660,2560,2024,04,01,Y
1,1,101,1,2770,2580,2024,05,01,Y
1,1,101,1,2750,0,2024,06,01,N
1,1,101,1,2730,2640,2024,07,01,Y
1,1,101,1,2710,2630,2024,08,01,Y
1,1,101,1,2810,2640,2024,09,01,Y
1,1,101,1,2800,2620,2024,10,01,Y
1,1,101,1,2700,2570,2024,11,01,Y
1,1,101,1,2660,2570,2024,12,01,Y
1,1,101,1,2800,2650,2025,01,01,Y
1,1,101,1,2780,2630,2025,02,01,Y
1,1,101,1,2830,2700,2025,03,01,Y
1,1,101,1,2890,2690,2025,04,01,Y
1,1,101,1,2780,2700,2025,05,01,Y
1,1,101,1,2930,2740,2025,06,01,Y
1,1,101,1,2830,2760,2025,07,01,Y
1,1,101,1,2930,2750,2025,08,01,Y
1,1,101,1,2880,2740,2025,09,01,Y
1,1,101,1,2910,2750,2025,10,01,Y
1,1,101,1,2760,2680,2025,11,01,Y
1,1,101,1,2780,2640,2025,12,01,Y
1,1,101,1,2900,2730,2026,01,01,Y
1,1,101,1,2920,2790,2026,02,01,Y
1,1,101,1,2950,2770,2026,03,01,Y
1,1,101,1,2900,2780,2026,04,01,Y
1,1,101,1,2900,2840,2026,05,01,Y
1,1,101,1,2950,2860,2026,06,01,Y
1,1,101,1,3020,2840,2026,07,01,Y
1,1,101,1,3060,2910,2026,08,01,Y
1,1,101,1,3000,2870,2026,09,01,Y
1,1,101,1,2930,2850,2026,10,01,Y
1,1,101,1,2900,2830,2026,11,01,Y
1,1,101,1,2910,2790,2026,12,01,Y
1,1,102,3,3740,3570,2024,01,01,Y
1,1,102,3,3770,3580,2024,02,01,Y
1,1,102,3,3790,3660,2024,03,01,Y
1,1,102,3,3830,3660,2024,04,01,Y
1,1,102,3,3740,3680,2024,05,01,Y
1,1,102,3,3850,3720,2024,06,01,Y
1,1,102,3,3940,3680,2024,07,01,Y
1,1,102,3,3940,3710,2024,08,01,Y
1,1,102,3,3920,3700,2024,09,01,Y
1,1,102,3,3810,3680,2024,10,01,Y
1,1,102,3,3800,3670,2024,11,01,Y
1,1,102,3,3790,3630,2024,12,01,Y
1,1,102,3,3970,3780,2025,01,01,Y
