"building_no";"floor";"unit_no";"bedrooms_no";"rental_year";"rental_month";"avg_listed_price";"avg_actual_rent";"daily_record_count";"rented_days";"unrented_days"
1;10;"1001";3;2024;1;3870.0;0.0;31;0.0;31.0
1;10;"1001";3;2024;2;3850.0;3640.0;29;29.0;0.0
1;10;"1001";3;2024;3;3930.0;3700.0;31;31.0;0.0
1;10;"1001";3;2024;4;3760.0;3680.0;30;30.0;0.0
1;10;"1001";3;2024;5;3980.0;3720.0;31;31.0;0.0
1;10;"1001";3;2024;6;3850.0;3770.0;30;30.0;0.0
1;10;"1001";3;2024;7;4040.0;3770.0;31;31.0;0.0
1;10;"1001";3;2024;8;4040.0;3760.0;31;31.0;0.0
1;10;"1001";3;2024;9;4010.0;3770.0;30;30.0;0.0
1;10;"1001";3;2024;10;3840.0;3730.0;31;31.0;0.0
1;10;"1001";3;2024;11;3810.0;3700.0;30;30.0;0.0
1;10;"1001";3;2024;12;3830.0;3670.0;31;31.0;0.0
1;10;"1001";3;2025;1;4070.0;3800.0;31;31.0;0.0
1;10;"1001";3;2025;2;3970.0;3850.0;28;28.0;0.0
1;10;"1001";3;2025;3;4060.0;3860.0;31;31.0;0.0
1;10;"1001";3;2025;4;4060.0;3840.0;30;30.0;0.0
1;10;"1001";3;2025;5;3990.0;3920.0;31;31.0;0.0
1;10;"1001";3;2025;6;4070.0;3920.0;30;30.0;0.0
1;10;"1001";3;2025;7;4170.0;3900.0;31;31.0;0.0
1;10;"1001";3;2025;8;4260.0;3970.0;31;31.0;0.0
1;10;"1001";3;2025;9;4150.0;3930.0;30;30.0;0.0
1;10;"1001";3;2025;10;4080.0;3880.0;31;31.0;0.0
1;10;"1001";3;2025;11;4070.0;3850.0;30;30.0;0.0
1;10;"1001";3;2025;12;4050.0;3810.0;31;31.0;0.0
1;10;"1001";3;2026;1;4020.0;3930.0;31;31.0;0.0
1;10;"1001";3;2026;2;4260.0;4000.0;28;28.0;0.0
1;10;"1001";3;2026;3;4170.0;4030.0;31;31.0;0.0
1;10;"1001";3;2026;4;4250.0;3990.0;30;30.0;0.0
1;10;"1001";3;2026;5;4330.0;4080.0;31;31.0;0.0
1;10;"1001";3;2026;6;4330.0;4050.0;30;30.0;0.0
1;10;"1001";3;2026;7;4250.0;4060.0;31;31.0;0.0
1;10;"1001";3;2026;8;4330.0;4110.0;31;31.0;0.0
1;10;"1001";3;2026;9;4200.0;4090.0;30;30.0;0.0
1;10;"1001";3;2026;10;4290.0;4050.0;31;31.0;0.0
1;10;"1001";3;2026;11;4280.0;3990.0;30;30.0;0.0
1;10;"1001";3;2026;12;4220.0;3970.0;31;31.0;0.0
1;10;"1002";1;2024;1;2530.0;2480.0;31;31.0;0.0
1;10;"1002";1;2024;2;2640.0;2530.0;29;29.0;0.0
1;10;"1002";1;2024;3;2720.0;2540.0;31;31.0;0.0
1;10;"1002";1;2024;4;2740.0;2550.0;30;30.0;0.0
1;10;"1002";1;2024;5;2670.0;2560.0;31;31.0;0.0
1;10;"1002";1;2024;6;2740.0;2610.0;30;30.0;0.0
1;10;"1002";1;2024;7;2810.0;2650.0;31;31.0;0.0
1;10;"1002";1;2024;8;2790.0;2620.0;31;31.0;0.0
1;10;"1002";1;2024;9;2630.0;2590.0;30;30.0;0.0
1;10;"1002";1;2024;10;2710.0;2560.0;31;31.0;0.0
1;10;"1002";1;2024;11;2610.0;2570.0;30;30.0;0.0
1;10;"1002";1;2024;12;2590.0;2500.0;31;31.0;0.0
1;10;"1002";1;2025;1;2770.0;2610.0;31;31.0;0.0
1;10;"1002";1;2025;2;2740.0;2660.0;28;28.0;0.0
1;10;"1002";1;2025;3;2840.0;2650.0;31;31.0;0.0
1;10;"1002";1;2025;4;2850.0;2690.0;30;30.0;0.0
1;10;"1002";1;2025;5;2730.0;2680.0;31;31.0;0.0
1;10;"1002";1;2025;6;2810.0;2730.0;30;30.0;0.0
1;10;"1002";1;2025;7;2830.0;2740.0;31;31.0;0.0
1;10;"1002";1;2025;8;2890.0;2700.0;31;31.0;0.0
1;10;"1002";1;2025;9;2940.0;2740.0;30;30.0;0.0
1;10;"1002";1;2025;10;2890.0;2690.0;31;31.0;0.0
1;10;"1002";1;2025;11;2790.0;2670.0;30;30.0;0.0
1;10;"1002";1;2025;12;2660.0;2610.0;31;31.0;0.0
1;10;"1002";1;2026;1;2770.0;2730.0;31;31.0;0.0
1;10;"1002";1;2026;2;2870.0;2710.0;28;28.0;0.0
1;10;"1002";1;2026;3;2830.0;2780.0;31;31.0;0.0
1;10;"1002";1;2026;4;2920.0;2750.0;30;30.0;0.0
1;10;"1002";1;2026;5;2890.0;2790.0;31;31.0;0.0
1;10;"1002";1;2026;6;2940.0;2840.0;30;30.0;0.0
1;10;"1002";1;2026;7;2950.0;0.0;31;0.0;31.0
1;10;"1002";1;2026;8;2890.0;2840.0;31;31.0;0.0
1;10;"1002";1;2026;9;2860.0;0.0;30;0.0;30.0
1;10;"1002";1;2026;10;2970.0;2810.0;31;31.0;0.0
1;10;"1002";1;2026;11;2910.0;2780.0;30;30.0;0.0
1;10;"1002";1;2026;12;2900.0;2740.0;31;31.0;0.0
1;1;"101";1;2024;1;2570.0;2510.0;31;31.0;0.0
1;1;"101";1;2024;2;2710.0;2560.0;29;29.0;0.0
1;1;"101";1;2024;3;2670.0;2580.0;31;31.0;0.0
1;1;"101";1;2024;4;2660.0;2560.0;30;30.0;0.0
1;1;"101";1;2024;5;2770.0;2580.0;31;31.0;0.0
1;1;"101";1;2024;6;2750.0;0.0;30;0.0;30.0
